CountryCode,Year,total_population
ARB,1960,92495902
CSS,1960,4190810
CEB,1960,91401583
EAS,1960,1042475394
EAP,1960,896492991
EMU,1960,265396501
ECS,1960,667489033
ECA,1960,155317369
EUU,1960,409498462
FCS,1960,120354582
HPC,1960,162491185
HIC,1960,907597507
NOC,1960,186676748
OEC,1960,720920759
LCN,1960,220564224
LAC,1960,177682238
LDC,1960,241072814
LMY,1960,2127373057
LIC,1960,157188433
LMC,1960,942911642
MEA,1960,105512645
MNA,1960,97869415
MIC,1960,1970184624
"NAC",1960,198624409
OED,1960,786648153
OSS,1960,6590560
PSS,1960,861378
SST,1960,11642748
SAS,1960,572036107
SSF,1960,228268752
SSA,1960,227974937
UMC,1960,1027272982
WLD,1960,3034970564
AFG,1960,8994793
ALB,1960,1608800
DZA,1960,11124892
ASM,1960,20012
ADO,1960,13414
AGO,1960,5270844
ATG,1960,54681
ARG,1960,20619075
ARM,1960,1867396
ABW,1960,54208
AUS,1960,10276477
AUT,1960,7047539
AZE,1960,3897889
BHS,1960,109526
BHR,1960,162501
BGD,1960,48200702
BRB,1960,230934
BLR,1960,8198000
BEL,1960,9153489
BLZ,1960,92068
BEN,1960,2431620
BMU,1960,44400
BTN,1960,224108
BOL,1960,3693451
BIH,1960,3214520
BWA,1960,524029
BRA,1960,72493585
BRN,1960,81825
BGR,1960,7867374
BFA,1960,4829291
BDI,1960,2786740
CPV,1960,202316
KHM,1960,5722370
CMR,1960,5361367
CAN,1960,17909009
CYM,1960,7867
CAF,1960,1503501
TCD,1960,3002596
CHI,1960,109419
CHL,1960,7695692
CHN,1960,667070000
COL,1960,16480384
COM,1960,188732
ZAR,1960,15248246
COG,1960,1013581
CRI,1960,1333042
CIV,1960,3474724
HRV,1960,4140000
CUB,1960,7141129
CUW,1960,124826
CYP,1960,572929
CZE,1960,9602006
DNK,1960,4579603
DJI,1960,83636
DMA,1960,60016
DOM,1960,3294039
ECU,1960,4545548
EGY,1960,27072397
SLV,1960,2762897
GNQ,1960,252115
ERI,1960,1407631
EST,1960,1211537
ETH,1960,22151218
FRO,1960,34266
FJI,1960,393383
FIN,1960,4429634
FRA,1960,46814237
PYF,1960,78083
GAB,1960,499189
GMB,1960,367929
GEO,1960,3645600
DEU,1960,72814900
GHA,1960,6652285
GRC,1960,8331725
GRL,1960,32500
GRD,1960,89861
GUM,1960,66741
GTM,1960,4127555
GIN,1960,3577413
GNB,1960,616407
GUY,1960,564222
HTI,1960,3866160
HND,1960,2002333
HKG,1960,3075605
HUN,1960,9983967
ISL,1960,175574
IND,1960,449661874
IDN,1960,87792512
IRN,1960,21906905
IRQ,1960,7289759
IRL,1960,2828600
IMY,1960,48441
ISR,1960,2114020
ITA,1960,50199700
JAM,1960,1629003
JPN,1960,92500572
JOR,1960,844000
KAZ,1960,9714260
KEN,1960,8105440
KIR,1960,41234
PRK,1960,11424179
KOR,1960,25012374
KSV,1960,947000
KWT,1960,261962
KGZ,1960,2172300
LAO,1960,2119944
LVA,1960,2120979
LBN,1960,1804927
LSO,1960,851412
LBR,1960,1120314
LBY,1960,1434576
LIE,1960,16504
LTU,1960,2778550
LUX,1960,313970
MAC,1960,171456
MKD,1960,1488664
MDG,1960,5099371
MWI,1960,3618604
MYS,1960,8160975
MDV,1960,89875
MLI,1960,5263730
MLT,1960,326550
MHL,1960,14665
MRT,1960,858170
MUS,1960,659351
MEX,1960,38174114
FSM,1960,44539
MDA,1960,2544000
MCO,1960,22454
MNG,1960,955514
MNE,1960,474203
MAR,1960,12328534
MOZ,1960,7493278
MMR,1960,21486424
"NAM",1960,602545
NPL,1960,10056945
NLD,1960,11486631
NCL,1960,79000
NZL,1960,2371800
NIC,1960,1774696
NER,1960,3395212
NGA,1960,45211614
MNP,1960,10070
NOR,1960,3581239
OMN,1960,551737
PAK,1960,44911810
PLW,1960,9638
PAN,1960,1132924
PNG,1960,1966957
PRY,1960,1902871
PER,1960,10061519
PHL,1960,26273023
POL,1960,29637450
PRT,1960,8857716
PRI,1960,2358000
QAT,1960,47309
ROM,1960,18406905
RUS,1960,119897000
RWA,1960,2933424
WSM,1960,108645
SMR,1960,15393
STP,1960,64255
SAU,1960,4086539
SEN,1960,3177560
SRB,1960,NA
SYC,1960,41700
SLE,1960,2181701
SGP,1960,1646400
SVK,1960,4068095
SVN,1960,1584720
SLB,1960,117869
SOM,1960,2756380
ZAF,1960,17396000
SSD,1960,2955044
ESP,1960,30455000
LKA,1960,9896000
KNA,1960,51197
LCA,1960,89901
MAF,1960,4279
VCT,1960,80948
SDN,1960,7527450
SUR,1960,289972
SWZ,1960,349233
SWE,1960,7484656
CHE,1960,5327827
SYR,1960,4592777
TJK,1960,2064035
TZA,1960,10074490
THA,1960,27397178
TMP,1960,499525
TGO,1960,1580513
TON,1960,61600
TTO,1960,848481
TUN,1960,4220701
TUR,1960,27553280
TKM,1960,1593501
